chembl_id,smiles,mw,logp
CHEMBL153534,Cc1cc(-c2csc(N=C(N)N)n2)cn1C,235.32,1.36
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,429.32,3.28
CHEMBL503634,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,289.29,2.13
CHEMBL503643,CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,233.22,2.04
CHEMBL403325,C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c1cccc(O)c1,438.57,3.58
CHEMBL155287,O=C(NO)c1ccc(I)cc1,263.03,1.41
CHEMBL265174,C=CCc1ccc(OC(=O)C23CC4CC(CC(C4)C2)C3)c(OC)c1,326.44,4.55
CHEMBL264472,Cc1cccc(N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2)c1,379.46,2.73
CHEMBL405225,N=c1sc2ccccc2n1CCN1CCC(c2ccc(F)cc2)CC1,355.48,4.2
CHEMBL499520,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,438.55,3.76
CHEMBL1082532,Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,369.8,4.53
CHEMBL501101,O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,270.27,-0.26
CHEMBL505943,CNc1nc2sc(SC)nc2c2c1ncn2C,265.37,2.34
CHEMBL1203224,CCCC1(C)CC(=O)N(CCCCN2CCN(c3nsc4ccccc34)CC2)C(=O)C1.Cl,479.09,4.58
CHEMBL441620,CCCCCC(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(N)=O)[C@@H]2C[C@H]1OC(=O)O2,379.5,3.63
CHEMBL444987,CC(C)=CCC/C(C)=C/C=C/C(=O)N1CCCC1,247.38,3.86
CHEMBL1203109,CNC(=O)c1cc(C(O)CNC(C)CCc2ccc3c(c2)OCO3)ccc1O.Cl,422.91,2.55
CHEMBL4116085,CN(C/C=C/c1ccc(C#N)cc1)Cc1ccc2c(c1)CCO2,304.39,3.64
CHEMBL266960,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,423.9,3.74
CHEMBL443992,Cc1cccc(NC(=S)Nc2ccc3c(c2)C(=O)OC3)c1,298.37,3.47
CHEMBL409297,C=CCn1cc(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)c2ccc(OC)cc21,353.42,1.87
CHEMBL405416,Cc1ccc(Oc2nc3ccccc3nc2N2CCN(C)CC2)cc1,334.42,3.48
CHEMBL411601,CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N,371.46,-1.18
CHEMBL441131,CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,324.13,4.55
CHEMBL155374,O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,273.66,1.47
CHEMBL217730,CCc1c(C)[nH]c2c1/C(=N/OC(=O)NCCc1cccnc1)CCC2,340.43,3.29
CHEMBL262664,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCc1ccccn1)CC2,397.52,2.59
CHEMBL500021,CCC(C)CNc1nc(C#N)nc2c1NCN2Cc1ccccc1,322.42,3.2
